time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.11786615605e-08,9.5393524974e-07,10.0093411111,0.000573237253809,6.28306913058,0.0,1.03666598107e-05,7.63530846876e-05,0.311337436713,0.023901610858,-0.00612143224665,0.0,499.2102125681579,498.76346126227526,499.09970790157854,500.8407286078879
0.12000000000000001,5.13731981111e-06,2.56372816868e-05,10.0344572049,0.00178503344529,6.28230916727,0.0,0.000218807550686,0.000905263177469,0.525790992673,0.0115070340167,-0.0308510657568,0.0,472.2249719313872,470.3138844887643,473.10913920548734,472.1539717763145
0.18,4.59572097076e-05,0.000124366605134,10.0716092744,0.00234553434549,6.28094239923,0.0,0.00132243495528,0.00245781424067,0.712512765381,0.00461509360595,-0.0101938917022,0.0,463.4380482428888,465.05857087871084,463.8539270323098,463.3123417372571
0.23999999999999996,0.000183021763778,0.000330478566666,10.1212145024,0.00239297331482,6.28036858091,0.0,0.00331769279227,0.00443349112837,0.940834628832,-0.00823493212153,-0.00833200671968,0.0,476.59629308634646,476.738687382594,476.67614222484593,475.69328368233226
0.3,0.000442125076942,0.00064406098329,10.180616947,0.00204748528487,6.27958771525,0.0,0.00538176049957,0.00597675984706,1.03916215779,-0.00121501611026,-0.0245785013922,0.0,437.7071049227147,436.3532035675635,437.2350626201321,437.8195355540616
0.36000000000000004,0.000842741777636,0.00104346100232,10.2453712177,0.00195808144754,6.27802297007,0.0,0.00812218796281,0.00732838500153,1.11923760338,-0.00204595629863,-0.0292626544703,0.0,431.2312381432679,430.83526104251604,432.2711648501478,432.20117765167623
0.4200000000000001,0.00144568039555,0.00152514266332,10.3159260122,0.00267780370091,6.27619322978,0.0,0.0121613750317,0.00876791351367,1.23247216362,0.0309857892353,-0.0330828628138,0.0,441.90477344560765,441.5894753459258,441.58489268189015,444.3010200486786
0.48000000000000015,0.00234220841656,0.00212021696791,10.394873517,0.00495326722599,6.27402924586,0.0,0.0179526036426,0.0113015526364,1.39891979017,0.0490726414913,-0.0428224819583,0.0,458.81074178383767,458.03634310446944,458.87933220757566,460.31332412965054
0.5400000000000001,0.00360288716926,0.00290323071177,10.4801986215,0.00810237680085,6.27137691984,0.0,0.0243148595751,0.01508581429,1.44518850029,0.0585580408952,-0.0471247030399,0.0,420.9457818058806,420.5721195942325,421.82033581400975,422.6405240220511
0.6000000000000002,0.00535738531324,0.00401827413493,10.5732335798,0.0116023226767,6.26868970261,0.0,0.0344908308042,0.0224948014449,1.65568779435,0.057877545539,-0.0404806619241,0.0,472.0014282024633,472.51282205087404,473.1760819145954,473.1258377577038
0.6600000000000003,0.00772111104489,0.00560921251507,10.674616984,0.0150835745368,6.26645975703,0.0,0.0445243698367,0.030873347473,1.72365063105,0.0583058513463,-0.0312478286998,0.0,429.48054476211365,430.2621469579068,428.87133576209226,428.9101782060182
0.7200000000000003,0.0106957821833,0.00774128050709,10.7781321365,0.018942414676,6.26451133758,0.0,0.0547987083972,0.0405198084035,1.72684082878,0.0742158206459,-0.0350449530952,0.0,407.5958440834251,407.2558705128739,408.07696501545064,409.4979572495092
0.7800000000000004,0.0143591481239,0.0105621440634,10.8837915832,0.0234945422417,6.2627274647,0.0,0.0674988446391,0.0539450157865,1.7950224766,0.0789834560674,-0.0207971193682,0.0,428.79593006085446,430.0041649951787,429.85467857032984,430.2632178774284
0.8400000000000004,0.0189519156272,0.0144383815428,11.0000583535,0.0284788444101,6.26123077222,0.0,0.0857588521963,0.0758814202878,2.08004191692,0.0901957936341,-0.0348955796169,0.0,495.91834302913594,494.88170456544066,494.67179744339796,495.50150905644944
0.9000000000000005,0.0245652195625,0.0196083320727,11.1281263753,0.0334651951068,6.25887695534,0.0,0.101574415809,0.0969874842267,2.18866667636,0.0625842105403,-0.049731223402,0.0,444.93572332517925,443.7187021816378,444.7548437958573,442.4930892704242
0.9600000000000005,0.0311336631803,0.026078757051,11.2608442729,0.0372109213671,6.25594468141,0.0,0.117649629573,0.119042621397,2.23515135889,0.0621162125519,-0.0472050142292,0.0,424.39074502956083,424.6059136938952,424.58295267208484,424.54581361960396
1.0200000000000005,0.0389271002173,0.0342253129634,11.4037730043,0.0410022859106,6.25383285753,0.0,0.142428415843,0.152976666212,2.52850653043,0.0652528491626,-0.0181976047008,0.0,497.16582292770346,499.28597047897733,500.20527574093126,500.43604167415066
1.0800000000000005,0.0481665028361,0.0443826735672,11.5612733862,0.0446718544943,6.25254430048,0.0,0.165674786177,0.186023509713,2.72104026638,0.0513709431788,-0.0290053312334,0.0,471.7262820518259,470.8910004570468,472.3928052821541,471.3235637400759
1.1400000000000006,0.0586692778159,0.0563667832201,11.7250462892,0.0480968830247,6.25143854089,0.0,0.184538497155,0.213737668105,2.73799349558,0.0665781716976,-0.00294041617851,0.0,417.05762183675307,419.32795342394445,416.0530269255956,417.38476986947563
1.2000000000000006,0.0703772630086,0.0701678676905,11.8916548797,0.0523441202488,6.25133483117,0.0,0.205734472158,0.24669595144,2.81541145802,0.0780959134423,0.000591567856466,0.0,437.56936863906486,437.86333627571815,436.50184453197477,437.4658482346267
1.2600000000000007,0.0833876819595,0.0860830179487,12.0638283122,0.0573053388556,6.25099082028,0.0,0.22794750823,0.28429239691,2.92339740519,0.0905675909725,-0.0230365042676,0.0,448.1060841326375,446.18128210068545,447.2807436673539,448.3007353791969
